PLZ;ORT;Bezirk;
3382;Dunkelsteinerwald;Bezirk Melk;
3382;Loosdorf;Bezirk Melk;
3382;Schollach;Bezirk Melk;
3383;Hürm;Bezirk Melk;
3384;Haunoldstein;Bezirk Sankt Pölten (Land);
3385;Gerersdorf;Bezirk Sankt Pölten (Land);
3385;Prinzersdorf;Bezirk Sankt Pölten (Land);
3385;St. Pölten;Bezirk Sankt Pölten (Stadt);
3386;Hafnerbach;Bezirk Sankt Pölten (Land);
3388;Markersdorf-Haindorf;Bezirk Sankt Pölten (Land);
3390;Melk;Bezirk Melk;
3390;Schollach;Bezirk Melk;
3390;Zelking-Matzleinsdorf;Bezirk Melk;
3392;Dunkelsteinerwald;Bezirk Melk;
3393;Zelking-Matzleinsdorf;Bezirk Melk;
3394;Schönbühel-Aggsbach;Bezirk Melk;
3400;Klosterneuburg;Bezirk Tulln;
3400;Mauerbach;Bezirk Sankt Pölten (Land);
3413;St. Andrä-Wördern;Bezirk Tulln;
3420;Klosterneuburg;Bezirk Tulln;
3421;Klosterneuburg;Bezirk Tulln;
3422;St. Andrä-Wördern;Bezirk Tulln;
3423;St. Andrä-Wördern;Bezirk Tulln;
3423;Zeiselmauer-Wolfpassing;Bezirk Tulln;
3424;Zeiselmauer-Wolfpassing;Bezirk Tulln;
3425;Tulln an der Donau;Bezirk Tulln;
3426;Muckendorf-Wipfing;Bezirk Tulln;
3430;Stetteldorf am Wagram;Bezirk Korneuburg;
3430;Tulbing;Bezirk Tulln;
3430;Tulln an der Donau;Bezirk Tulln;
3433;Königstetten;Bezirk Tulln;
3434;Sieghartskirchen;Bezirk Tulln;
3434;Tulbing;Bezirk Tulln;
3435;Kirchberg am Wagram;Bezirk Tulln;
3435;Langenrohr;Bezirk Tulln;
3435;Zwentendorf an der Donau;Bezirk Tulln;
3441;Judenau-Baumgarten;Bezirk Tulln;
3441;Sieghartskirchen;Bezirk Tulln;
3442;Langenrohr;Bezirk Tulln;
3443;Asperhofen;Bezirk Sankt Pölten (Land);
3443;Pressbaum;Bezirk Sankt Pölten (Land);
3443;Sieghartskirchen;Bezirk Tulln;
3443;Tullnerbach;Bezirk Sankt Pölten (Land);
3451;Asperhofen;Bezirk Sankt Pölten (Land);
3451;Michelhausen;Bezirk Tulln;
3451;Sieghartskirchen;Bezirk Tulln;
3452;Atzenbrugg;Bezirk Tulln;
3452;Michelhausen;Bezirk Tulln;
3452;Würmla;Bezirk Tulln;
3454;Herzogenburg;Bezirk Sankt Pölten (Land);
3454;Sitzenberg-Reidling;Bezirk Tulln;
3454;Zwentendorf an der Donau;Bezirk Tulln;
3462;Absdorf;Bezirk Tulln;
3462;Königsbrunn am Wagram;Bezirk Tulln;
3463;Stetteldorf am Wagram;Bezirk Korneuburg;
3464;Hausleiten;Bezirk Korneuburg;
3464;Stetteldorf am Wagram;Bezirk Korneuburg;
3465;Kirchberg am Wagram;Bezirk Tulln;
3465;Königsbrunn am Wagram;Bezirk Tulln;
3470;Großriedenthal;Bezirk Tulln;
3470;Kirchberg am Wagram;Bezirk Tulln;
3471;Großriedenthal;Bezirk Tulln;
3472;Hohenwarth-Mühlbach a.M.;Bezirk Hollabrunn;
3473;Hohenwarth-Mühlbach a.M.;Bezirk Hollabrunn;
3474;Kirchberg am Wagram;Bezirk Tulln;
3481;Fels am Wagram;Bezirk Tulln;
3482;Fels am Wagram;Bezirk Tulln;
3483;Grafenwörth;Bezirk Tulln;
3484;Grafenwörth;Bezirk Tulln;
3485;Gedersdorf;Bezirk Krems (Land);
3485;Grafenegg;Bezirk Krems (Land);
3491;Straß im Straßertale;Bezirk Krems (Land);
3492;Grafenegg;Bezirk Krems (Land);
3493;Hadersdorf-Kammern;Bezirk Krems (Land);
